TagName,OPC UA NodeId,Data Type,AccessLevel
2F 213客房 壓扣 警報狀態,ns=2;s=Delta_43_2F.BA04.ALM12,Boolean,CurrentRead
2F 201客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT1,Float,"CurrentRead, CurrentWrite"
2F 202客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT2,Float,"CurrentRead, CurrentWrite"
2F 203客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT3,Float,"CurrentRead, CurrentWrite"
2F 205客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT4,Float,"CurrentRead, CurrentWrite"
2F 206客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT5,Float,"CurrentRead, CurrentWrite"
2F 207客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT6,Float,"CurrentRead, CurrentWrite"
2F 208客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT7,Float,"CurrentRead, CurrentWrite"
2F 209客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT8,Float,"CurrentRead, CurrentWrite"
2F 210客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT9,Float,"CurrentRead, CurrentWrite"
2F 211客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT10,Float,"CurrentRead, CurrentWrite"
2F 212客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT11,Float,"CurrentRead, CurrentWrite"
2F 213客房 壓扣 警報延遲,ns=2;s=Delta_43_2F.BA04.DT12,Float,"CurrentRead, CurrentWrite"
3F 301客房 壓扣 警報開關,ns=2;s=Delta_44_3F.BA05.EN1,Boolean,"CurrentRead, CurrentWrite"
3F 302客房 壓扣 警報開關,ns=2;s=Delta_44_3F.BA05.EN2,Boolean,"CurrentRead, CurrentWrite"
3F 303客房 壓扣 警報開關,ns=2;s=Delta_44_3F.BA05.EN3,Boolean,"CurrentRead, CurrentWrite"
3F 305客房 壓扣 警報開關,ns=2;s=Delta_44_3F.BA05.EN4,Boolean,"CurrentRead, CurrentWrite"
3F 306客房 壓扣 警報開關,ns=2;s=Delta_44_3F.BA05.EN5,Boolean,"CurrentRead, CurrentWrite"
3F 307客房 壓扣 警報開關,ns=2;s=Delta_44_3F.BA05.EN6,Boolean,"CurrentRead, CurrentWrite"
3F 308客房 壓扣 警報開關,ns=2;s=Delta_44_3F.BA05.EN7,Boolean,"CurrentRead, CurrentWrite"
3F 309客房 壓扣 警報開關,ns=2;s=Delta_44_3F.BA05.EN8,Boolean,"CurrentRead, CurrentWrite"
3F 310客房 壓扣 警報開關,ns=2;s=Delta_44_3F.BA05.EN9,Boolean,"CurrentRead, CurrentWrite"
3F 312客房 壓扣 警報開關,ns=2;s=Delta_44_3F.BA05.EN10,Boolean,"CurrentRead, CurrentWrite"
3F 313客房 壓扣 警報開關,ns=2;s=Delta_44_3F.BA05.EN11,Boolean,"CurrentRead, CurrentWrite"
3F 301客房 壓扣 警報復歸,ns=2;s=Delta_44_3F.BA05.ALM_RST1,Boolean,"CurrentRead, CurrentWrite"
3F 302客房 壓扣 警報復歸,ns=2;s=Delta_44_3F.BA05.ALM_RST2,Boolean,"CurrentRead, CurrentWrite"
3F 303客房 壓扣 警報復歸,ns=2;s=Delta_44_3F.BA05.ALM_RST3,Boolean,"CurrentRead, CurrentWrite"
3F 305客房 壓扣 警報復歸,ns=2;s=Delta_44_3F.BA05.ALM_RST4,Boolean,"CurrentRead, CurrentWrite"
3F 306客房 壓扣 警報復歸,ns=2;s=Delta_44_3F.BA05.ALM_RST5,Boolean,"CurrentRead, CurrentWrite"
3F 307客房 壓扣 警報復歸,ns=2;s=Delta_44_3F.BA05.ALM_RST6,Boolean,"CurrentRead, CurrentWrite"
3F 308客房 壓扣 警報復歸,ns=2;s=Delta_44_3F.BA05.ALM_RST7,Boolean,"CurrentRead, CurrentWrite"
3F 309客房 壓扣 警報復歸,ns=2;s=Delta_44_3F.BA05.ALM_RST8,Boolean,"CurrentRead, CurrentWrite"
3F 310客房 壓扣 警報復歸,ns=2;s=Delta_44_3F.BA05.ALM_RST9,Boolean,"CurrentRead, CurrentWrite"
3F 312客房 壓扣 警報復歸,ns=2;s=Delta_44_3F.BA05.ALM_RST10,Boolean,"CurrentRead, CurrentWrite"
3F 313客房 壓扣 警報復歸,ns=2;s=Delta_44_3F.BA05.ALM_RST11,Boolean,"CurrentRead, CurrentWrite"
3F 301客房 壓扣 警報狀態,ns=2;s=Delta_44_3F.BA05.ALM1,Boolean,CurrentRead
3F 302客房 壓扣 警報狀態,ns=2;s=Delta_44_3F.BA05.ALM2,Boolean,CurrentRead
3F 303客房 壓扣 警報狀態,ns=2;s=Delta_44_3F.BA05.ALM3,Boolean,CurrentRead
3F 305客房 壓扣 警報狀態,ns=2;s=Delta_44_3F.BA05.ALM4,Boolean,CurrentRead
3F 306客房 壓扣 警報狀態,ns=2;s=Delta_44_3F.BA05.ALM5,Boolean,CurrentRead
3F 307客房 壓扣 警報狀態,ns=2;s=Delta_44_3F.BA05.ALM6,Boolean,CurrentRead
3F 308客房 壓扣 警報狀態,ns=2;s=Delta_44_3F.BA05.ALM7,Boolean,CurrentRead
3F 309客房 壓扣 警報狀態,ns=2;s=Delta_44_3F.BA05.ALM8,Boolean,CurrentRead
3F 310客房 壓扣 警報狀態,ns=2;s=Delta_44_3F.BA05.ALM9,Boolean,CurrentRead
3F 312客房 壓扣 警報狀態,ns=2;s=Delta_44_3F.BA05.ALM10,Boolean,CurrentRead
3F 313客房 壓扣 警報狀態,ns=2;s=Delta_44_3F.BA05.ALM11,Boolean,CurrentRead
3F 301客房 壓扣 警報延遲,ns=2;s=Delta_44_3F.BA05.DT1,Float,"CurrentRead, CurrentWrite"
3F 302客房 壓扣 警報延遲,ns=2;s=Delta_44_3F.BA05.DT2,Float,"CurrentRead, CurrentWrite"
3F 303客房 壓扣 警報延遲,ns=2;s=Delta_44_3F.BA05.DT3,Float,"CurrentRead, CurrentWrite"
3F 305客房 壓扣 警報延遲,ns=2;s=Delta_44_3F.BA05.DT4,Float,"CurrentRead, CurrentWrite"
3F 306客房 壓扣 警報延遲,ns=2;s=Delta_44_3F.BA05.DT5,Float,"CurrentRead, CurrentWrite"
3F 307客房 壓扣 警報延遲,ns=2;s=Delta_44_3F.BA05.DT6,Float,"CurrentRead, CurrentWrite"
3F 308客房 壓扣 警報延遲,ns=2;s=Delta_44_3F.BA05.DT7,Float,"CurrentRead, CurrentWrite"
3F 309客房 壓扣 警報延遲,ns=2;s=Delta_44_3F.BA05.DT8,Float,"CurrentRead, CurrentWrite"
3F 310客房 壓扣 警報延遲,ns=2;s=Delta_44_3F.BA05.DT9,Float,"CurrentRead, CurrentWrite"
3F 312客房 壓扣 警報延遲,ns=2;s=Delta_44_3F.BA05.DT10,Float,"CurrentRead, CurrentWrite"
3F 313客房 壓扣 警報延遲,ns=2;s=Delta_44_3F.BA05.DT11,Float,"CurrentRead, CurrentWrite"
5F 501客房 壓扣 警報開關,ns=2;s=Delta_45_5F.BA06.EN1,Boolean,"CurrentRead, CurrentWrite"
5F 502客房 壓扣 警報開關,ns=2;s=Delta_45_5F.BA06.EN2,Boolean,"CurrentRead, CurrentWrite"
5F 503客房 壓扣 警報開關,ns=2;s=Delta_45_5F.BA06.EN3,Boolean,"CurrentRead, CurrentWrite"
5F 505客房 壓扣 警報開關,ns=2;s=Delta_45_5F.BA06.EN4,Boolean,"CurrentRead, CurrentWrite"
5F 506客房 壓扣 警報開關,ns=2;s=Delta_45_5F.BA06.EN5,Boolean,"CurrentRead, CurrentWrite"
5F 507客房 壓扣 警報開關,ns=2;s=Delta_45_5F.BA06.EN6,Boolean,"CurrentRead, CurrentWrite"
5F 508客房 壓扣 警報開關,ns=2;s=Delta_45_5F.BA06.EN7,Boolean,"CurrentRead, CurrentWrite"
5F 509客房 壓扣 警報開關,ns=2;s=Delta_45_5F.BA06.EN8,Boolean,"CurrentRead, CurrentWrite"
5F 512客房 壓扣 警報開關,ns=2;s=Delta_45_5F.BA06.EN9,Boolean,"CurrentRead, CurrentWrite"
5F 513客房 壓扣 警報開關,ns=2;s=Delta_45_5F.BA06.EN10,Boolean,"CurrentRead, CurrentWrite"
5F 501客房 壓扣 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST1,Boolean,"CurrentRead, CurrentWrite"
5F 502客房 壓扣 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST2,Boolean,"CurrentRead, CurrentWrite"
5F 503客房 壓扣 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST3,Boolean,"CurrentRead, CurrentWrite"
5F 505客房 壓扣 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST4,Boolean,"CurrentRead, CurrentWrite"
5F 506客房 壓扣 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST5,Boolean,"CurrentRead, CurrentWrite"
5F 507客房 壓扣 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST6,Boolean,"CurrentRead, CurrentWrite"
5F 508客房 壓扣 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST7,Boolean,"CurrentRead, CurrentWrite"
5F 509客房 壓扣 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST8,Boolean,"CurrentRead, CurrentWrite"
5F 512客房 壓扣 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST9,Boolean,"CurrentRead, CurrentWrite"
5F 513客房 壓扣 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST10,Boolean,"CurrentRead, CurrentWrite"
5F 501客房 壓扣 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM1,Boolean,CurrentRead
5F 502客房 壓扣 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM2,Boolean,CurrentRead
5F 503客房 壓扣 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM3,Boolean,CurrentRead
5F 505客房 壓扣 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM4,Boolean,CurrentRead
5F 506客房 壓扣 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM5,Boolean,CurrentRead
5F 507客房 壓扣 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM6,Boolean,CurrentRead
5F 508客房 壓扣 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM7,Boolean,CurrentRead
5F 509客房 壓扣 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM8,Boolean,CurrentRead
5F 512客房 壓扣 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM9,Boolean,CurrentRead
5F 513客房 壓扣 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM10,Boolean,CurrentRead
5F 501客房 壓扣 警報延遲,ns=2;s=Delta_45_5F.BA06.DT1,Float,"CurrentRead, CurrentWrite"
5F 502客房 壓扣 警報延遲,ns=2;s=Delta_45_5F.BA06.DT2,Float,"CurrentRead, CurrentWrite"
5F 503客房 壓扣 警報延遲,ns=2;s=Delta_45_5F.BA06.DT3,Float,"CurrentRead, CurrentWrite"
5F 505客房 壓扣 警報延遲,ns=2;s=Delta_45_5F.BA06.DT4,Float,"CurrentRead, CurrentWrite"
5F 506客房 壓扣 警報延遲,ns=2;s=Delta_45_5F.BA06.DT5,Float,"CurrentRead, CurrentWrite"
5F 507客房 壓扣 警報延遲,ns=2;s=Delta_45_5F.BA06.DT6,Float,"CurrentRead, CurrentWrite"
5F 508客房 壓扣 警報延遲,ns=2;s=Delta_45_5F.BA06.DT7,Float,"CurrentRead, CurrentWrite"
5F 509客房 壓扣 警報延遲,ns=2;s=Delta_45_5F.BA06.DT8,Float,"CurrentRead, CurrentWrite"
5F 512客房 壓扣 警報延遲,ns=2;s=Delta_45_5F.BA06.DT9,Float,"CurrentRead, CurrentWrite"
5F 513客房 壓扣 警報延遲,ns=2;s=Delta_45_5F.BA06.DT10,Float,"CurrentRead, CurrentWrite"
5F 公共澡堂 壓扣x2 警報開關,ns=2;s=Delta_45_5F.BA06.EN11,Boolean,"CurrentRead, CurrentWrite"
5F 殘障廁所 壓扣x2 警報開關,ns=2;s=Delta_45_5F.BA06.EN12,Boolean,"CurrentRead, CurrentWrite"
5F 公共澡堂 壓扣x2 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST11,Boolean,"CurrentRead, CurrentWrite"
5F 殘障廁所 壓扣x2 警報復歸,ns=2;s=Delta_45_5F.BA06.ALM_RST12,Boolean,"CurrentRead, CurrentWrite"
5F 公共澡堂 壓扣x2 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM11,Boolean,CurrentRead
5F 殘障廁所 壓扣x2 警報狀態,ns=2;s=Delta_45_5F.BA06.ALM12,Boolean,CurrentRead
5F 公共澡堂 壓扣x2 警報延遲,ns=2;s=Delta_45_5F.BA06.DT11,Float,"CurrentRead, CurrentWrite"
5F 殘障廁所 壓扣x2 警報延遲,ns=2;s=Delta_45_5F.BA06.DT12,Float,"CurrentRead, CurrentWrite"
